Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
1,Bermuda,150.38,109.1,130.06,149.89,151.9,87.25
2,Switzerland,138.16,56.01,97.72,145.5,132.81,114.6
3,Iceland,130.79,53.62,92.79,127.65,140.48,68.8
4,Norway,112.75,39.53,76.7,108.35,124.05,92.2
5,Bahamas,109.37,37.55,74.01,109.34,94.59,50.21
6,Denmark,93.27,37.55,65.83,74.12,113.18,98.67
7,Us Virgin Islands,93.06,48.83,71.28,91.32,81.82,70.68
8,Japan,89.5,25.56,58.02,97.32,49.61,92.48
9,Israel,88.56,34.08,61.74,76.08,96.06,92.26
10,Singapore,88.07,66.99,77.69,81.34,61.4,88.14
11,New Zealand,87.53,33.55,60.95,83.44,81.95,89.65
12,Luxembourg,87.52,53.33,70.69,78.28,95.98,99.16
13,Australia,85.96,40.94,63.8,85.43,81.36,107.84
14,Ireland,84.88,42.12,63.83,70.93,90.92,87.26
15,Sweden,83.32,26.67,55.43,78.31,84.68,94.77
16,Belgium,82.24,29.86,56.45,74.6,89.68,80.41
17,Finland,81.23,28,55.02,71.11,85.82,101.93
18,France,81.16,26.03,54.02,78.57,76.18,89.37
19,South Korea,81.07,22.01,51.99,99.94,46.95,89.74
20,Netherlands,79.61,34.22,57.26,64.02,89.45,94.23
21,Hong Kong,79.24,82.67,80.93,83.4,56.3,74.04
22,Austria,78.98,26.75,53.26,76.16,72.71,87.11
23,Italy,77.36,21.58,49.9,68.48,80.94,68.09
24,United States,77.23,38.76,58.29,80.83,72.68,114.73
25,United Kingdom,76.02,33.26,54.97,62.67,83.05,92.5
26,Germany,73.18,27.07,50.48,59.89,68.54,107.9
27,Uruguay,72.83,19.53,46.58,59.31,74.25,28.99
28,Canada,72.82,29.09,51.29,74.55,67.44,98.45
29,Puerto Rico,71.18,18.93,45.46,71.73,64.01,84.28
30,Malta,70.17,25.61,48.23,61.01,74.55,57.69
31,United Arab Emirates,70.14,65.6,67.91,59.96,65.78,106.06
32,Kuwait,69.54,37.01,53.52,68.49,48.54,79.99
33,Qatar,69.48,67.52,68.51,59.8,72.66,100.27
34,Taiwan,66.8,14.57,41.08,83.75,29.11,94.89
35,Ghana,63.78,38.29,51.23,61.04,42.81,13.31
36,Lebanon,63.41,29.48,46.7,50.06,60.94,47.72
37,Greece,61.29,10.53,36.29,51.36,59.39,49.65
38,Spain,60.64,20,40.63,52.15,58.37,78.18
39,Bahrain,60.54,30.24,45.62,61.6,51.2,72.72
40,Palestinian Territory,59.74,10.46,35.47,58.59,41.79,46.54
41,Jamaica,59.44,11.46,35.81,60.37,39.66,30.75
42,Cyprus,59.37,13.05,36.56,50.46,63.21,84.95
43,Costa Rica,58.87,17.53,38.51,60.68,45.31,44.67
44,Jordan,58.76,12.54,36.01,51.35,56.11,38.21
45,Slovenia,58.32,14.66,36.83,50.61,46.39,68.72
46,Trinidad And Tobago,57.81,19.68,39.03,58.46,52.38,48.87
47,Panama,57.79,28.96,43.59,60.35,48.87,33.46
48,Argentina,56.8,14.41,35.93,48.9,54.82,50.83
49,Estonia,54.89,14.38,34.94,43.19,51.33,62.7
50,Portugal,54.63,18.32,36.75,45.96,44.88,55.75
51,Croatia,53.98,10.98,32.81,46.74,41.7,53.71
52,Oman,53.38,22.03,37.95,52.25,48.21,90.57
53,Mauritius,53.38,12.33,33.17,50.27,37.75,42.03
54,Chile,53.31,15.31,34.6,47.9,46.83,49.57
55,Brazil,53.06,14.27,33.96,43.48,41.58,36.54
56,Zimbabwe,52.56,13.15,33.15,47.71,38.22,23.54
57,Dominican Republic,51.97,11.74,32.16,47.39,43.66,24.08
58,Lithuania,51.93,14.32,33.41,42.26,44.3,48.45
59,Latvia,51.81,12.67,32.54,42.28,43.4,46.74
60,Ethiopia,50.33,22.34,36.55,43.71,22.12,14.53
61,Saudi Arabia,50.22,14.28,32.52,43.31,31.54,119.44
62,Slovakia,49.45,17.35,33.64,44.73,34.79,57.89
63,El Salvador,48.99,10.69,30.13,47.21,36.76,26.58
64,Guatemala,48.88,14.6,32,48.86,35.58,39.71
65,Cambodia,48.78,14.31,31.81,54.27,23.22,14.38
66,Iraq,48.71,14.37,31.8,42.49,44.99,45
67,Czech Republic,47.67,16.75,32.44,42.85,33.68,65.78
68,Honduras,47.65,11.62,29.91,41.07,35.06,29.59
69,Tanzania,47.32,19.48,33.61,37.46,29.81,20.63
70,Thailand,47.2,15.28,31.49,54.8,23.17,28.61
71,Hungary,47.19,13.51,30.61,38.44,35.62,41.48
72,Ecuador,46.77,11.5,29.41,47.59,31.87,34.05
73,South Africa,46.45,16.98,31.94,41.21,42.42,85.91
74,China,45.78,17.06,31.64,51.13,29.76,62.21
75,Russia,44.48,17.24,31.07,36.86,45.5,45.2
76,Turkey,44.41,11.29,28.1,39.77,31.86,47.84
77,Montenegro,43.74,10.39,27.32,36.53,38.1,42.04
78,Poland,43.5,14.98,29.46,35.51,35.32,64.79
79,Malaysia,43.31,11.07,27.44,48.26,21.96,64.43
80,Indonesia,42.32,8.67,25.75,48.38,20.19,32.63
81,Peru,42.06,15.43,28.95,39.88,27.28,32.07
82,Vietnam,41.31,14.8,28.26,43.38,19.71,25.83
83,Bulgaria,40.24,9.21,24.96,35.37,32.29,46.62
84,Kenya,40.18,9.65,25.15,39.6,31.44,24.67
85,Romania,38.71,9.9,24.53,32.91,32.37,57.4
86,Bosnia And Herzegovina,38.69,6.57,22.87,34.4,26.21,45.47
87,Bolivia,38.37,10.82,24.81,31.88,29.44,40.83
88,Iran,38.19,17.16,27.84,35.77,29.82,39.29
89,Morocco,38.13,10.86,24.7,35.47,25.33,37.62
90,Serbia,37.42,7.45,22.67,29.33,29.58,36.1
91,Albania,36.84,6.99,22.14,30.9,28.72,30.22
92,Philippines,36.51,7.68,22.31,37.23,21.47,31.88
93,Mexico,36.28,9.41,23.05,35.6,31.61,51.36
94,Kazakhstan,35.36,11.44,23.58,29.41,36.87,37.17
95,Armenia,35.32,9.11,22.41,29.57,32.3,30.35
96,Belarus,35.2,11.22,23.39,29.56,37.48,33.07
97,Venezuela,35.15,7.57,21.57,38.08,29.96,3.3
98,Bangladesh,35.1,5.39,20.47,34.25,23.49,35.6
99,Uganda,35.06,7.14,21.31,31.8,23.61,17.44
100,Sri Lanka,34.88,8.76,22.02,39.65,19.98,25.5
101,Algeria,34.86,6.2,20.75,37.4,19.34,30.9
102,Colombia,34.35,9.62,22.17,30.15,24.69,32.97
103,Nigeria,34.34,16.82,25.71,38.08,20.53,18.28
104,Macedonia,33.79,6.31,20.26,28.83,22.56,36.57
105,Moldova,32.86,8.55,20.89,26.96,23.05,25.54
106,Georgia,32.72,10.05,21.56,27.86,32.01,27.49
107,Nepal,32.59,3.69,18.36,30.41,17.8,23.61
108,Azerbaijan,31.93,10.73,21.49,28.79,30.81,25.12
109,Syria,29.71,5.42,17.75,29.19,22.5,11.39
110,Kosovo (Disputed Territory),29.7,8.15,19.09,27.05,21.2,49.36
111,Ukraine,29.21,10.12,19.81,23.05,20.84,25.2
112,Tunisia,28.3,5.65,17.15,27.76,17.09,34.17
113,Pakistan,27.65,5.15,16.57,26.78,21.01,35.88
114,India,27.48,6.7,17.25,29.15,18.02,67.15
115,Egypt,25.39,4.95,15.33,23.25,20.31,23.24
,,,,,,,
